pressure [MPa], density [g/ml], viscosity [muPa*s], enthalpy [kJ/kg]
28.655, 9.88994619e-02, 3.24541679e-05, 3.21296918e+03
28.665, 9.89442549e-02, 3.24561632e-05, 3.21283181e+03
28.675, 9.89890488e-02, 3.24581591e-05, 3.21269445e+03
28.685, 9.90338606e-02, 3.24601563e-05, 3.21255706e+03
28.695, 9.90786819e-02, 3.24621546e-05, 3.21241964e+03
28.705, 9.91235125e-02, 3.24641538e-05, 3.21228222e+03
28.715, 9.91683526e-02, 3.24661539e-05, 3.21214478e+03
28.725, 9.92132022e-02, 3.24681551e-05, 3.21200733e+03
28.735, 9.92580612e-02, 3.24701572e-05, 3.21186987e+03
28.745, 9.93029296e-02, 3.24721602e-05, 3.21173239e+03
28.755, 9.93477989e-02, 3.24741639e-05, 3.21159492e+03
28.765, 9.93926861e-02, 3.24761689e-05, 3.21145741e+03
28.775, 9.94375829e-02, 3.24781749e-05, 3.21131989e+03
28.785, 9.94824890e-02, 3.24801819e-05, 3.21118236e+03
28.795, 9.95274047e-02, 3.24821899e-05, 3.21104481e+03
28.805, 9.95723297e-02, 3.24841988e-05, 3.21090725e+03
28.815, 9.96172643e-02, 3.24862087e-05, 3.21076967e+03
28.825, 9.96622082e-02, 3.24882195e-05, 3.21063208e+03
28.835, 9.97071531e-02, 3.24902310e-05, 3.21049450e+03
28.845, 9.97521160e-02, 3.24922438e-05, 3.21035689e+03
28.855, 9.97970883e-02, 3.24942576e-05, 3.21021926e+03
28.865, 9.98420702e-02, 3.24962724e-05, 3.21008161e+03
28.875, 9.98870615e-02, 3.24982881e-05, 3.20994395e+03
28.885, 9.99320622e-02, 3.25003048e-05, 3.20980628e+03
28.895, 9.99770724e-02, 3.25023225e-05, 3.20966860e+03
28.905, 1.00022092e-01, 3.25043412e-05, 3.20953090e+03
28.915, 1.00067121e-01, 3.25063609e-05, 3.20939318e+03
28.925, 1.00112151e-01, 3.25083811e-05, 3.20925548e+03
28.935, 1.00157200e-01, 3.25104027e-05, 3.20911774e+03
28.945, 1.00202257e-01, 3.25124253e-05, 3.20897999e+03
28.955, 1.00247324e-01, 3.25144489e-05, 3.20884222e+03
28.965, 1.00292401e-01, 3.25164735e-05, 3.20870444e+03
28.975, 1.00337487e-01, 3.25184990e-05, 3.20856664e+03
28.985, 1.00382582e-01, 3.25205255e-05, 3.20842883e+03
28.995, 1.00427688e-01, 3.25225530e-05, 3.20829101e+03
29.005, 1.00472794e-01, 3.25245811e-05, 3.20815320e+03
29.015, 1.00517918e-01, 3.25266105e-05, 3.20801534e+03
29.025, 1.00563051e-01, 3.25286410e-05, 3.20787748e+03
29.035, 1.00608194e-01, 3.25306724e-05, 3.20773960e+03
29.045, 1.00653347e-01, 3.25327048e-05, 3.20760171e+03
29.055, 1.00698509e-01, 3.25347381e-05, 3.20746380e+03
29.065, 1.00743680e-01, 3.25367725e-05, 3.20732589e+03
29.075, 1.00788862e-01, 3.25388079e-05, 3.20718795e+03
29.085, 1.00834044e-01, 3.25408438e-05, 3.20705003e+03
29.095, 1.00879244e-01, 3.25428811e-05, 3.20691207e+03
29.105, 1.00924453e-01, 3.25449194e-05, 3.20677410e+03
29.115, 1.00969673e-01, 3.25469587e-05, 3.20663611e+03
29.125, 1.01014901e-01, 3.25489989e-05, 3.20649811e+03
29.135, 1.01060140e-01, 3.25510402e-05, 3.20636009e+03
29.145, 1.01105387e-01, 3.25530824e-05, 3.20622206e+03
29.155, 1.01150645e-01, 3.25551257e-05, 3.20608402e+03
29.165, 1.01195912e-01, 3.25571699e-05, 3.20594597e+03
29.175, 1.01241179e-01, 3.25592147e-05, 3.20580792e+03
29.185, 1.01286465e-01, 3.25612609e-05, 3.20566984e+03
29.195, 1.01331761e-01, 3.25633080e-05, 3.20553174e+03
29.205, 1.01377066e-01, 3.25653562e-05, 3.20539363e+03
29.215, 1.01422380e-01, 3.25674053e-05, 3.20525551e+03
29.225, 1.01467704e-01, 3.25694554e-05, 3.20511737e+03
29.235, 1.01513038e-01, 3.25715066e-05, 3.20497922e+03
